ID,Target_Language,Input_JSON,Model_Output,Reference_Ground_Truth,Model_Version
1,English,"{""time"": ""00:01"", ""team"": ""Fenerbahçe"", ""player"": ""Nigel Hayes-Davis"", ""action"": ""3pt_shot"", ""result"": ""make""}","Output Data: {""time"": ""00:01"", ""team"": ""Fenerbahçe"", ""player"": ""Nigel Hayes-Davis"", ""action"": ""3pt_shot"", ""result"": ""make"", ""score"": ""1"", ""points"": ""3"", ""type"": ""3pt"", ""quarter"": ""1""}?",Hayes-Davis for the win... BANG! He buries it at the buzzer!,Base Model
1,Turkish,"{""time"": ""00:01"", ""team"": ""Fenerbahçe"", ""player"": ""Nigel Hayes-Davis"", ""action"": ""3pt_shot"", ""result"": ""make""}","Output: Fenerbahçe'nin Nigel Hayes-Davis, 3 sayılık şutundan maalesef bir fail.",Hayes-Davis son saniyede gönderiyor... VE İSABET! Maçı kazandıran basket!,Base Model
2,English,"{""time"": ""00:00"", ""team"": ""Anadolu Efes"", ""player"": ""Shane Larkin"", ""action"": ""drive_layup"", ""result"": ""make""}",""": ""Sergio Llull""}прикладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприклад",Larkin drives to the rim... lays it up and in! Buzzer beater!,Base Model
2,Turkish,"{""time"": ""00:00"", ""team"": ""Anadolu Efes"", ""player"": ""Shane Larkin"", ""action"": ""drive_layup"", ""result"": ""make""}","Output Data: {""time"": ""00:00"", ""team"": ""Anadolu Efes"", ""player"": ""Shane Larkin"", ""action"": ""drive_layup"", ""result"": ""make""}umptech",Larkin potaya yüklendi... turnikeyi bıraktı ve basket! Süre dolarken!,Base Model
3,English,"{""time"": ""09:45"", ""team"": ""Fenerbahçe"", ""player"": ""Scottie Wilbekin"", ""action"": ""turnover"", ""result"": ""steal""}","Output Data: {""time"": ""09:45"", ""team"": ""Fenerbahçe"", ""player"": ""Scottie Wilbekin"", ""action"": ""turnover"", ""result"": ""steal""}приклад",Wilbekin loses the handle! Stolen by the defense.,Base Model
3,Turkish,"{""time"": ""09:45"", ""team"": ""Fenerbahçe"", ""player"": ""Scottie Wilbekin"", ""action"": ""turnover"", ""result"": ""steal""}","Output Data: ""09:45 - Fenerbahçe'li Scottie Wilbekin'in topu çalma ile basketbolculara topu verdi.""",Wilbekin topu kaybetti! Savunma araya girip topu çalıyor.,Base Model
4,English,"{""time"": ""08:12"", ""team"": ""Fenerbahçe"", ""player"": ""Sertaç Şanlı"", ""action"": ""block"", ""result"": ""success""}","Output Data: ""Fenerbahçe's Sertaç Şanlı blocked the shot with 08:12 left on the clock.""",Rejected by Sanli! A huge defensive stop at the rim.,Base Model
4,Turkish,"{""time"": ""08:12"", ""team"": ""Fenerbahçe"", ""player"": ""Sertaç Şanlı"", ""action"": ""block"", ""result"": ""success""}","Output: ""08:12'de Fenerbahçe'nin Sertaç Şanlı, başarılı bir blokkı yapmıstır.""",Sertaç Şanlı'dan harika bir blok! Çemberi kararttı resmen.,Base Model
5,English,"{""time"": ""05:14"", ""team"": ""Fenerbahçe"", ""player"": ""Dyshawn Pierre"", ""action"": ""rebound"", ""result"": ""offensive""}",Output: Fenerbahçe's Dyshawn Pierre rebounds the ball.,Pierre keeps it alive! Huge offensive rebound for Fenerbahçe.,Base Model
5,Turkish,"{""time"": ""05:14"", ""team"": ""Fenerbahçe"", ""player"": ""Dyshawn Pierre"", ""action"": ""rebound"", ""result"": ""offensive""}","Output Data: Dyshawn Pierre, who is playing for Fenerbahçe, rebounded the ball at 05:14. Dyshawn Pierre, who is playing for Fenerbahçe, rebounded the ball at 05:14.",Pierre hücum ribaundunu aldı! Fenerbahçe için yeni bir 14 saniye.,Base Model
6,English,"{""time"": ""06:30"", ""team"": ""Anadolu Efes"", ""player"": ""Tyrique Jones"", ""action"": ""rebound"", ""result"": ""defensive""}","Output Data: ""06:30 - Anadolu Efes's Tyrique Jones with a defensive rebound.""",Jones clears the glass. Efes looking to push the pace now.,Base Model
6,Turkish,"{""time"": ""06:30"", ""team"": ""Anadolu Efes"", ""player"": ""Tyrique Jones"", ""action"": ""rebound"", ""result"": ""defensive""}","Output Data: ""06:30 Anadolu Efes' Tyrique Jones gets a defensive rebound.""",Tyrique Jones savunma ribaundunu çekti. Efes hızlı hücuma çıkıyor.,Base Model
7,English,"{""time"": ""01:50"", ""team"": ""Fenerbahçe"", ""player"": ""Johnathan Motley"", ""action"": ""shooting_foul"", ""result"": ""foul_out""}","Output: {""time"": ""01:50"", ""team"": ""Fenerbahçe"", ""player"": ""Johnathan Motley"", ""action"": ""shooting_foul"", ""result"": ""foul_out""}",Whistle blows... and that is it for Motley! He has fouled out of the game.,Base Model
7,Turkish,"{""time"": ""01:50"", ""team"": ""Fenerbahçe"", ""player"": ""Johnathan Motley"", ""action"": ""shooting_foul"", ""result"": ""foul_out""}","Output: ""Fenerbahçe'nin topçusu Johnathan Motley'nin 01:50'te topu atarken şut atarken şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50'te şut attı ve 01:50't",Düdük çaldı... Motley için maç bitti! 5 faulle oyun dışı kalıyor.,Base Model
8,English,"{""time"": ""02:30"", ""team"": ""Fenerbahçe"", ""player"": ""Melih Mahmutoğlu"", ""action"": ""technical_foul"", ""result"": ""penalty""}","Output Data: {""time"": ""02:30"", ""team"": ""Fenerbahçe"", ""player"": ""Melih Mahmutoğlu"", ""action"": ""technical_foul"", ""result"": ""penalty""}прикладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприклад",Technical foul called on Mahmutoglu! He let his emotions get the best of him.,Base Model
8,Turkish,"{""time"": ""02:30"", ""team"": ""Fenerbahçe"", ""player"": ""Melih Mahmutoğlu"", ""action"": ""technical_foul"", ""result"": ""penalty""}","Output Data: {""time"": ""02:30"", ""team"": ""Fenerbahçe"", ""player"": ""Melih Mahmutoğlu"", ""action"": ""technical_foul"", ""result"": ""penalty""}прикладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприкладприклад",Melih Mahmutoğlu teknik faul alıyor! İtirazları pahalıya patladı.,Base Model
9,English,"{""time"": ""06:05"", ""team"": ""Anadolu Efes"", ""player"": ""Elijah Bryant"", ""action"": ""fast_break_layup"", ""result"": ""make""}",The program takes an input dictionary. The dictionary contains the following key-value pairs:,Elijah Bryant in transition... goes all the way for the layup!,Base Model
9,Turkish,"{""time"": ""06:05"", ""team"": ""Anadolu Efes"", ""player"": ""Elijah Bryant"", ""action"": ""fast_break_layup"", ""result"": ""make""}","_result"": ""make""}корист",Elijah Bryant açık sahayı buldu... turnikeyi bıraktı!,Base Model
10,English,"{""time"": ""03:15"", ""team"": ""Fenerbahçe"", ""player"": ""Tyler Dorsey"", ""action"": ""drive_layup"", ""result"": ""miss""}","Output Data: ""The Fenerbahçe's Tyler Dorsey drives to the basket and lays it up, but he misses.""",Dorsey attacks the paint but misses the bunny. He wanted a foul there.,Base Model
10,Turkish,"{""time"": ""03:15"", ""team"": ""Fenerbahçe"", ""player"": ""Tyler Dorsey"", ""action"": ""drive_layup"", ""result"": ""miss""}","Output Data: ""Fenerbahçe'nın Tyler Dorsey'nin drive layup atma girişimi reddedildi.""",Dorsey içeri daldı ama atışı kaçırdı. Faul beklentisi vardı.,Base Model
1,English,"{""time"": ""00:01"", ""team"": ""Fenerbahçe"", ""player"": ""Nigel Hayes-Davis"", ""action"": ""3pt_shot"", ""result"": ""make""}",Hayes-Davis is a superstar! He hits the game-winner in dramatic fashion!,Hayes-Davis for the win... BANG! He buries it at the buzzer!,Fine-Tuned
1,Turkish,"{""time"": ""00:01"", ""team"": ""Fenerbahçe"", ""player"": ""Nigel Hayes-Davis"", ""action"": ""3pt_shot"", ""result"": ""make""}",Hayes-Davis'ten müthiş bir şut! Maçta son isabet!,Hayes-Davis son saniyede gönderiyor... VE İSABET! Maçı kazandıran basket!,Fine-Tuned
2,English,"{""time"": ""00:00"", ""team"": ""Anadolu Efes"", ""player"": ""Shane Larkin"", ""action"": ""drive_layup"", ""result"": ""make""}",Larkin's clutch play secures the win for Ef,Larkin drives to the rim... lays it up and in! Buzzer beater!,Fine-Tuned
2,Turkish,"{""time"": ""00:00"", ""team"": ""Anadolu Efes"", ""player"": ""Shane Larkin"", ""action"": ""drive_layup"", ""result"": ""make""}",Efes tribünleri ayağa kalktı! Maçın son dakikalarında harika bir,Larkin potaya yüklendi... turnikeyi bıraktı ve basket! Süre dolarken!,Fine-Tuned
3,English,"{""time"": ""09:45"", ""team"": ""Fenerbahçe"", ""player"": ""Scottie Wilbekin"", ""action"": ""turnover"", ""result"": ""steal""}",,Wilbekin loses the handle! Stolen by the defense.,Fine-Tuned
3,Turkish,"{""time"": ""09:45"", ""team"": ""Fenerbahçe"", ""player"": ""Scottie Wilbekin"", ""action"": ""turnover"", ""result"": ""steal""}",Wilbekin savunmayı,Wilbekin topu kaybetti! Savunma araya girip topu çalıyor.,Fine-Tuned
4,English,"{""time"": ""08:12"", ""team"": ""Fenerbahçe"", ""player"": ""Sertaç Şanlı"", ""action"": ""block"", ""result"": ""success""}",Not in his house! Şannie sends it back with a monstrous,Rejected by Sanli! A huge defensive stop at the rim.,Fine-Tuned
4,Turkish,"{""time"": ""08:12"", ""team"": ""Fenerbahçe"", ""player"": ""Sertaç Şanlı"", ""action"": ""block"", ""result"": ""success""}",Devasa bir,Sertaç Şanlı'dan harika bir blok! Çemberi kararttı resmen.,Fine-Tuned
5,English,"{""time"": ""05:14"", ""team"": ""Fenerbahçe"", ""player"": ""Dyshawn Pierre"", ""action"": ""rebound"", ""result"": ""offensive""}",Pierre secures the rebound and puts it back in,Pierre keeps it alive! Huge offensive rebound for Fenerbahçe.,Fine-Tuned
5,Turkish,"{""time"": ""05:14"", ""team"": ""Fenerbahçe"", ""player"": ""Dyshawn Pierre"", ""action"": ""rebound"", ""result"": ""offensive""}",Pierre,Pierre hücum ribaundunu aldı! Fenerbahçe için yeni bir 14 saniye.,Fine-Tuned
6,English,"{""time"": ""06:30"", ""team"": ""Anadolu Efes"", ""player"": ""Tyrique Jones"", ""action"": ""rebound"", ""result"": ""defensive""}",,Jones clears the glass. Efes looking to push the pace now.,Fine-Tuned
6,Turkish,"{""time"": ""06:30"", ""team"": ""Anadolu Efes"", ""player"": ""Tyrique Jones"", ""action"": ""rebound"", ""result"": ""defensive""}","Jones boyalı alanda güçlü bir pozisyonda, savunma rib",Tyrique Jones savunma ribaundunu çekti. Efes hızlı hücuma çıkıyor.,Fine-Tuned
7,English,"{""time"": ""01:50"", ""team"": ""Fenerbahçe"", ""player"": ""Johnathan Motley"", ""action"": ""shooting_foul"", ""result"": ""foul_out""}",Motley picks up his fifth foul and is fouled out.,Whistle blows... and that is it for Motley! He has fouled out of the game.,Fine-Tuned
7,Turkish,"{""time"": ""01:50"", ""team"": ""Fenerbahçe"", ""player"": ""Johnathan Motley"", ""action"": ""shooting_foul"", ""result"": ""foul_out""}",Motley fa,Düdük çaldı... Motley için maç bitti! 5 faulle oyun dışı kalıyor.,Fine-Tuned
8,English,"{""time"": ""02:30"", ""team"": ""Fenerbahçe"", ""player"": ""Melih Mahmutoğlu"", ""action"": ""technical_foul"", ""result"": ""penalty""}",Paris steps to the line and calmly sinks the technical free throw to start the,Technical foul called on Mahmutoglu! He let his emotions get the best of him.,Fine-Tuned
8,Turkish,"{""time"": ""02:30"", ""team"": ""Fenerbahçe"", ""player"": ""Melih Mahmutoğlu"", ""action"": ""technical_foul"", ""result"": ""penalty""}","Mahmutoğlu faul yaptı,",Melih Mahmutoğlu teknik faul alıyor! İtirazları pahalıya patladı.,Fine-Tuned
9,English,"{""time"": ""06:05"", ""team"": ""Anadolu Efes"", ""player"": ""Elijah Bryant"", ""action"": ""fast_break_layup"", ""result"": ""make""}",Bryant draws,Elijah Bryant in transition... goes all the way for the layup!,Fine-Tuned
9,Turkish,"{""time"": ""06:05"", ""team"": ""Anadolu Efes"", ""player"": ""Elijah Bryant"", ""action"": ""fast_break_layup"", ""result"": ""make""}",Bry,Elijah Bryant açık sahayı buldu... turnikeyi bıraktı!,Fine-Tuned
10,English,"{""time"": ""03:15"", ""team"": ""Fenerbahçe"", ""player"": ""Tyler Dorsey"", ""action"": ""drive_layup"", ""result"": ""miss""}",Dorsey drives hard but gets rejected by the defense once,Dorsey attacks the paint but misses the bunny. He wanted a foul there.,Fine-Tuned
10,Turkish,"{""time"": ""03:15"", ""team"": ""Fenerbahçe"", ""player"": ""Tyler Dorsey"", ""action"": ""drive_layup"", ""result"": ""miss""}",Dorsey potaya sert gitti ama,Dorsey içeri daldı ama atışı kaçırdı. Faul beklentisi vardı.,Fine-Tuned
